time_stamp,open,close,adjust,usage,comment
Nov-06,1783.8120,1913.1500,0.0000,129.3380,
Dec-06,1913.1500,2116.9500,0.0000,203.8000,
Jan-07,2116.9500,2295.9010,0.0000,178.9510,
Feb-07,2295.9010,2476.8200,0.0000,180.9190,Added insulation on cellar pipes
Mar-07,2476.8200,2639.2330,0.0000,162.4130,
Apr-07,2639.2330,2713.0100,0.0000,73.7770,
May-07,2713.0100,2761.8580,0.0000,48.8480,
Jun-07,2761.8580,2794.5840,0.0000,32.7260,Two weeks in Spain.
Jul-07,2794.5840,2814.0030,0.0000,19.4190,
Aug-07,2814.0030,2860.2860,0.0000,46.2830,
Sep-07,2860.2860,2925.4350,0.0000,65.1490,
Oct-07,2925.4350,3042.7080,0.0000,117.2730,
Nov-07,3042.7080,3252.4870,0.0000,209.7790,
Dec-07,3252.4870,3461.4000,0.0000,208.9130,
Jan-08,3461.4000,3714.0000,0.0000,252.6000,Reset the timer on the header
Feb-08,3714.0000,3901.4370,0.0000,187.4370,18.03 New house door installed
Mar-08,3901.4370,4084.9660,0.0000,183.5290,
Apr-08,4084.9660,4206.1700,0.0000,121.2040,
May-08,4206.1700,4254.2100,0.0000,48.0400,Heater was turned off.
Jun-08,4254.2100,4277.7960,0.0000,23.5860,Hot water and pump timer was changed to 5.30-10.30am  only.
Jul-08,4277.7960,4313.3470,0.0000,35.5510,
Aug-08,4313.3470,4349.1320,0.0000,35.7850,
Sep-08,4349.1320,4414.9800,0.0000,65.8480,Added Honeywell thermostats to Lounge and bathroom.
Oct-08,4414.9800,4472.4851,0.0000,57.5051,Australia for 13 days
Nov-08,4472.4851,4625.4760,0.0000,152.9909,Australia for 6 days | Visitors
Dec-08,4625.4760,4867.1025,0.0000,241.6265,Visitors over christmas - Party mode was used
Jan-09,4867.1025,5150.6470,0.0000,283.5445,Steve one week in USA
Feb-09,5150.6470,5402.5420,0.0000,251.8950,Steve one week in USA; Visitor two weeks.
Mar-09,5402.5420,5603.3230,0.0000,200.7810,One week skiing
Apr-09,5603.3230,5649.5235,0.0000,46.2005,Heating off since 1st. Party Mode used twice plus two evenings with heater
May-09,5649.5235,5676.9525,0.0000,27.4290,Away first week and again one weekend. Jane and Eileen visit.
Jun-09,5676.9525,5711.2300,0.0000,34.2775,
Jul-09,5711.2300,5742.4440,0.0000,31.2140,
Aug-09,5742.4440,5771.4820,0.0000,29.0380,Set spare monitor on a switch.
Sep-09,5771.4820,5805.4920,0.0000,34.0100,
Oct-09,5805.4920,5881.8710,0.0000,76.3790,
Nov-09,5881.8710,6028.1450,0.0000,146.2740,
Dec-09,6028.1450,6302.8700,0.0000,274.7250,House Guest
Jan-10,6302.8700,6626.6100,0.0000,323.7400,
Feb-10,6626.6100,6898.4400,0.0000,271.8300,
Mar-10,6898.4400,7106.3470,0.0000,207.9070,One day late in reading
Apr-10,7106.3470,7203.7690,0.0000,97.4220,House Guest
May-10,7203.7690,7272.2400,0.0000,68.4710,Heater was turned off.
Jun-10,7272.2400,7304.3120,0.0000,32.0720,Filled heater pressure to 0.9 Bar
Jul-10,7304.3120,7325.3890,0.0000,21.0770,ESTW changed water meter. Old=486 New=0.1075. Reading 0.85105
Aug-10,7325.3890,7358.7910,0.0000,33.4020,
Sep-10,7358.7910,7403.8560,0.0000,45.0650,Heating turned on
Oct-10,7403.8560,7517.3400,0.0000,113.4840,Electric heater purchased. 8d2h-9.287kWh-9.287OnTime
Nov-10,7517.3400,7679.5400,0.0000,162.2000,Office Heater 18.15kWh@18:08/28d19h.
Dec-10,7679.5400,7812.0170,0.0000,132.4770,Holiday in Australia from 07.12.10 to 05.01.11
Jan-11,7812.0170,8059.0400,0.0000,247.0230,Office Heater 12.8kWh@11:04/7d18h
Feb-11,8059.0400,8294.2100,0.0000,235.1700,Office Heater 38.88kWh@1d7h/27d23h
Mar-11,8294.2100,8478.8300,0.0000,184.6200,Office Heater 4.711Wh@3:37h/30d22h
Apr-11,8478.8300,8557.2500,0.0000,78.4200,away first week and again one weekend. Jane and Eileen visit.
May-11,8557.2500,8607.2010,0.0000,49.9510,
Jun-11,8607.2010,8638.9520,0.0000,31.7510,
Jul-11,8638.9520,8670.8300,0.0000,31.8780,Running the de-humidifier for most of the month. - Water in Cellar
Aug-11,8670.8300,8708.9740,0.0000,38.1440,John and family visited. Making Jam
Sep-11,8708.9740,8724.7100,0.0000,15.7360,Two weeks in Burgundy
Oct-11,8724.7100,8841.4680,0.0000,116.7580,Heating turned on; Circulation pump added to Hot Water.
Nov-11,8841.4680,9032.9400,0.0000,191.4720,Lighting system 1.066 - 29:22d:h
Dec-11,9032.9400,9282.3340,0.0000,249.3940,Visitors over christmas - Party mode was used
Jan-12,9282.3340,9523.5510,0.0000,241.2170,
Feb-12,9523.5510,9834.0900,0.0000,310.5390,Lighting system 1.060 -28:22d:h
Mar-12,9834.0900,9993.2680,0.0000,159.1780,New regulator for the heater
Apr-12,9993.2680,10096.7290,0.0000,103.4610,
